District,Average Evapotranspiration,Year,Month,Total Evaporation
13,0.41,2023,1,12.71
13,0.2,2023,2,5.6
13,0.84,2023,3,26.04
13,1.0,2023,4,30.0
13,1.85,2023,5,57.35
13,2.01,2023,6,60.3
13,3.03,2023,7,93.93
13,3.06,2023,8,94.86
13,3.23,2023,9,96.9
13,1.87,2023,10,57.97
13,1.08,2023,11,32.4
13,1.48,2023,12,45.88
13,0.6,2024,1,18.6
13,0.31,2024,2,8.99
13,0.16,2024,3,4.96
13,0.1,2024,4,3.0
13,1.36,2024,5,42.16
13,2.85,2024,6,85.5
13,3.04,2024,7,94.24
13,3.71,2024,8,115.01
13,3.74,2024,9,112.2
13,3.71,2024,10,115.01
10,2.48,2018,7,76.88
10,2.28,2018,8,70.68
10,2.46,2018,9,73.8
10,2.19,2018,10,67.89
10,0.76,2018,11,22.8
10,0.31,2018,12,9.61
10,0.88,2019,1,27.28
10,0.99,2019,2,27.72
10,0.45,2019,3,13.95
10,0.51,2019,4,15.3
10,1.02,2019,5,31.62
10,2.57,2019,6,77.1
10,3.19,2019,7,98.89
10,3.93,2019,8,121.83
10,3.58,2019,9,107.4
10,2.84,2019,10,88.04
10,2.08,2019,11,62.4
10,1.23,2019,12,38.13
10,0.49,2020,1,15.19
10,0.13,2020,2,3.77
10,0.1,2020,3,3.1
10,0.66,2020,4,19.8
10,1.81,2020,5,56.11
10,3.1,2020,6,93.0
10,3.54,2020,7,109.74
10,3.67,2020,8,113.77
10,3.47,2020,9,104.1
10,3.46,2020,10,107.26
10,1.8,2020,11,54.0
10,1.1,2020,12,34.1
10,0.87,2021,1,26.97
10,0.54,2021,2,15.12
10,0.48,2021,3,14.88
10,0.56,2021,4,16.8
10,1.31,2021,5,40.61
10,2.31,2021,6,69.3
10,3.41,2021,7,105.71
10,2.83,2021,8,87.73
10,2.97,2021,9,89.1
10,2.2,2021,10,68.2
10,1.04,2021,12,32.24
10,0.54,2022,1,16.74
10,0.34,2022,2,9.52
10,0.24,2022,3,7.44
10,0.38,2022,4,11.4
10,1.51,2022,5,46.81
10,2.33,2022,6,69.9
10,3.04,2022,7,94.24
10,3.79,2022,8,117.49
10,3.14,2022,9,94.2
10,3.29,2022,10,101.99
10,1.23,2022,11,36.9
10,0.65,2022,12,20.15
10,0.33,2023,1,10.23
10,0.19,2023,2,5.32
10,0.36,2023,3,11.16
10,0.55,2023,4,16.5
10,1.75,2023,5,54.25
10,1.78,2023,6,53.4
10,2.6,2023,7,80.6
10,2.54,2023,8,78.74
10,2.94,2023,9,88.2
10,1.09,2023,10,33.79
10,0.75,2023,11,22.5
10,0.4,2023,12,12.4
10,0.16,2024,1,4.96
10,0.1,2024,2,2.9
10,0.09,2024,3,2.79
10,0.22,2024,4,6.6
10,1.41,2024,5,43.71
10,2.84,2024,6,85.2
10,2.83,2024,7,87.73
10,3.84,2024,8,119.04
10,3.84,2024,9,115.2
10,3.51,2024,10,108.81
18,2.65,2018,7,82.15
18,2.81,2018,8,87.11
18,2.97,2018,9,89.1
18,2.23,2018,10,69.13
18,1.1,2018,11,33.0
18,0.72,2018,12,22.32
18,0.92,2019,1,28.52
18,0.95,2019,2,26.6
18,0.39,2019,3,12.09
18,0.6,2019,4,18.0
18,1.07,2019,5,33.17
18,1.66,2019,6,49.8
18,3.17,2019,7,98.27
18,3.8,2019,8,117.8
18,3.36,2019,9,100.8
18,2.75,2019,10,85.25
18,1.92,2019,11,57.6
18,1.44,2019,12,44.64
18,0.74,2020,1,22.94
18,0.34,2020,2,9.86
18,0.36,2020,3,11.16
18,1.0,2020,4,30.0
18,1.58,2020,5,48.98
18,3.09,2020,6,92.7
18,3.73,2020,7,115.63
18,3.53,2020,8,109.43
18,3.32,2020,9,99.6
18,3.36,2020,10,104.16
18,2.24,2020,11,67.2
18,1.62,2020,12,50.22
18,1.03,2021,1,31.93
18,0.71,2021,2,19.88
18,0.54,2021,3,16.74
18,0.63,2021,4,18.9
18,1.26,2021,5,39.06
18,1.79,2021,6,53.7
18,3.23,2021,7,100.13
18,2.89,2021,8,89.59
18,3.32,2021,9,99.6
18,2.63,2021,10,81.53
18,1.42,2021,12,44.02
18,0.71,2022,1,22.01
18,0.53,2022,2,14.84
18,0.45,2022,3,13.95
18,0.24,2022,4,7.2
18,1.43,2022,5,44.33
18,2.02,2022,6,60.6
18,2.81,2022,7,87.11
18,3.26,2022,8,101.06
18,3.09,2022,9,92.7
18,3.3,2022,10,102.3
18,1.85,2022,11,55.5
18,1.32,2022,12,40.92
18,0.69,2023,1,21.39
18,0.47,2023,2,13.16
18,0.71,2023,3,22.01
18,1.23,2023,4,36.9
18,1.66,2023,5,51.46
18,1.93,2023,6,57.9
18,2.85,2023,7,88.35
18,2.26,2023,8,70.06
18,3.08,2023,9,92.4
18,1.33,2023,10,41.23
18,1.42,2023,11,42.6
18,1.39,2023,12,43.09
18,0.58,2024,1,17.98
18,0.36,2024,2,10.44
18,0.21,2024,3,6.51
18,0.14,2024,4,4.2
18,1.27,2024,5,39.37
18,2.51,2024,6,75.3
18,3.0,2024,7,93.0
18,3.52,2024,8,109.12
18,3.88,2024,9,116.4
18,3.39,2024,10,105.09
20,1.82,2018,7,56.42
20,2.71,2018,8,84.01
20,2.73,2018,9,81.9
20,2.09,2018,10,64.79
20,1.53,2018,11,45.9
20,1.16,2018,12,35.96
20,0.84,2019,1,26.04
20,0.81,2019,2,22.68
20,0.41,2019,3,12.71
20,0.34,2019,4,10.2
20,0.69,2019,5,21.39
20,0.91,2019,6,27.3
20,2.23,2019,7,69.13
20,3.6,2019,8,111.6
20,3.51,2019,9,105.3
20,2.74,2019,10,84.94
20,1.8,2019,11,54.0
20,1.47,2019,12,45.57
20,1.09,2020,1,33.79
20,0.59,2020,2,17.11
20,0.43,2020,3,13.33
20,1.01,2020,4,30.3
20,1.33,2020,5,41.23
20,2.93,2020,6,87.9
20,3.57,2020,7,110.67
20,3.74,2020,8,115.94
20,3.19,2020,9,95.7
20,2.79,2020,10,86.49
20,2.51,2020,11,75.3
20,1.89,2020,12,58.59
20,1.55,2021,1,48.05
20,1.02,2021,2,28.56
20,0.78,2021,3,24.18
20,0.84,2021,4,25.2
20,0.81,2021,5,25.11
20,1.01,2021,6,30.3
20,2.85,2021,7,88.35
20,2.72,2021,8,84.32
20,2.95,2021,9,88.5
20,2.57,2021,10,79.67
20,1.76,2021,12,54.56
20,0.99,2022,1,30.69
20,0.7,2022,2,19.6
20,0.58,2022,3,17.98
20,0.3,2022,4,9.0
20,1.56,2022,5,48.36
20,2.3,2022,6,69.0
20,3.12,2022,7,96.72
20,3.23,2022,8,100.13
20,2.91,2022,9,87.3
20,2.77,2022,10,85.87
20,2.42,2022,11,72.6
20,1.77,2022,12,54.87
20,0.97,2023,1,30.07
20,0.6,2023,2,16.8
20,0.98,2023,3,30.38
20,1.28,2023,4,38.4
20,1.37,2023,5,42.47
20,1.5,2023,6,45.0
20,2.72,2023,7,84.32
20,2.01,2023,8,62.31
20,2.22,2023,9,66.6
20,0.94,2023,10,29.14
20,1.85,2023,11,55.5
20,1.64,2023,12,50.84
20,0.75,2024,1,23.25
20,0.44,2024,2,12.76
20,0.31,2024,3,9.61
20,0.15,2024,4,4.5
20,0.95,2024,5,29.45
20,2.43,2024,6,72.9
20,3.28,2024,7,101.68
20,3.03,2024,8,93.93
20,2.82,2024,9,84.6
20,2.54,2024,10,78.74
21,3.07,2018,7,95.17
21,3.24,2018,8,100.44
21,2.89,2018,9,86.7
21,2.09,2018,10,64.79
21,1.08,2018,11,32.4
21,1.02,2018,12,31.62
21,1.68,2019,1,52.08
21,2.0,2019,2,56.0
21,1.21,2019,3,37.51
21,0.91,2019,4,27.3
21,1.89,2019,5,58.59
21,2.54,2019,6,76.2
21,2.87,2019,7,88.97
21,3.22,2019,8,99.82
21,2.77,2019,9,83.1
21,2.41,2019,10,74.71
21,1.77,2019,11,53.1
21,1.13,2019,12,35.03
21,0.85,2020,1,26.35
21,0.91,2020,2,26.39
21,1.44,2020,3,44.64
21,2.16,2020,4,64.8
21,2.44,2020,5,75.64
21,3.27,2020,6,98.1
21,3.33,2020,7,103.23
21,3.5,2020,8,108.5
21,3.07,2020,9,92.1
21,2.64,2020,10,81.84
21,1.49,2020,11,44.7
21,0.54,2020,12,16.74
21,0.52,2021,1,16.12
21,0.26,2021,2,7.28
21,0.28,2021,3,8.68
21,0.56,2021,4,16.8
21,1.36,2021,5,42.16
21,1.77,2021,6,53.1
21,2.44,2021,7,75.64
21,2.72,2021,8,84.32
21,2.95,2021,9,88.5
21,2.73,2021,10,84.63
21,1.19,2021,12,36.89
21,0.6,2022,1,18.6
21,0.54,2022,2,15.12
21,0.54,2022,3,16.74
21,0.3,2022,4,9.0
21,1.41,2022,5,43.71
21,1.8,2022,6,54.0
21,2.44,2022,7,75.64
21,2.75,2022,8,85.25
21,2.85,2022,9,85.5
21,2.52,2022,10,78.12
21,0.94,2022,11,28.2
21,0.4,2022,12,12.4
21,0.3,2023,1,9.3
21,0.16,2023,2,4.48
21,0.77,2023,3,23.87
21,1.21,2023,4,36.3
21,1.31,2023,5,40.61
21,1.52,2023,6,45.6
21,2.57,2023,7,79.67
21,2.94,2023,8,91.14
21,2.84,2023,9,85.2
21,1.67,2023,10,51.77
21,0.54,2023,11,16.2
21,0.77,2023,12,23.87
21,0.37,2024,1,11.47
21,0.23,2024,2,6.67
21,0.41,2024,3,12.71
21,0.38,2024,4,11.4
21,1.12,2024,5,34.72
21,2.04,2024,6,61.2
21,2.23,2024,7,69.13
21,2.96,2024,8,91.76
21,3.09,2024,9,92.7
21,2.83,2024,10,87.73
23,3.47,2018,7,107.57
23,2.86,2018,8,88.66
23,3.07,2018,9,92.1
23,2.27,2018,10,70.37
23,1.25,2018,11,37.5
23,1.2,2018,12,37.2
23,1.96,2019,1,60.76
23,2.65,2019,2,74.2
23,1.85,2019,3,57.35
23,1.49,2019,4,44.7
23,2.18,2019,5,67.58
23,3.07,2019,6,92.1
23,2.84,2019,7,88.04
23,3.09,2019,8,95.79
23,2.71,2019,9,81.3
23,2.31,2019,10,71.61
23,1.8,2019,11,54.0
23,1.38,2019,12,42.78
23,1.08,2020,1,33.48
23,0.65,2020,2,18.85
23,0.89,2020,3,27.59
23,2.09,2020,4,62.7
23,2.95,2020,5,91.45
23,3.78,2020,6,113.4
23,3.55,2020,7,110.05
23,3.05,2020,8,94.55
23,3.25,2020,9,97.5
23,3.98,2020,10,123.38
23,2.24,2020,11,67.2
23,1.3,2020,12,40.3
23,1.03,2021,1,31.93
23,0.44,2021,2,12.32
23,0.5,2021,3,15.5
23,1.68,2021,4,50.4
23,2.39,2021,5,74.09
23,2.82,2021,6,84.6
23,3.3,2021,7,102.3
23,3.51,2021,8,108.81
23,4.06,2021,9,121.8
23,3.88,2021,10,120.28
23,1.46,2021,12,45.26
23,0.73,2022,1,22.63
23,0.54,2022,2,15.12
23,0.45,2022,3,13.95
23,1.54,2022,4,46.2
